scenario,slope,intercept,r2,mae,n
ALL,2.1696787184348167,1.3235420522730248,0.8710821744594498,1.2004321960717255,200
NO_OUTLIERS,2.1366504325681723,1.3972415331324761,0.9007773861249713,1.118808734685513,199
WINSORIZED_5_95,2.128440605118686,1.477439783389313,0.9109201515462849,1.0497715545056778,200
