Date,Close,High,Low,Open,Volume,daily_return,ret_lag1,ret_lag5,ma_7,ma_21,ma_63,ma_126,vol_7,vol_21,vol_63,mom_10,mom_20,mom_60,cum_return,ema_12,ema_26,rsi_14
2022-01-04,104.97966766357422,105.98347045673019,104.84278388218969,105.47244509923952,9363000,-0.0019087190684544,,,104.97966766357422,104.97966766357422,104.97966766357422,104.97966766357422,,,,,,,-0.0019087190684543565,104.97966766357422,104.97966766357422,
2022-01-05,101.8678741455078,104.8610416475952,101.79487549400208,104.71503042018671,12110000,-0.0296418686334454,-0.0019087190684544,,103.42377090454102,103.42377090454102,103.42377090454102,103.42377090454102,0.019610298121065885,0.019610298121065885,0.019610298121065885,,,,-0.03149400970201455,104.5009301992563,104.74916444001374,
2022-01-06,101.84962463378906,102.32414719106457,100.84582182871513,101.96825353255834,7920600,-0.0001791488422804,-0.0296418686334454,,102.89905548095703,102.89905548095703,102.89905548095703,102.89905548095703,0.016533656862362772,0.016533656862362772,0.016533656862362772,,,,-0.031667516428918074,104.09303703533827,104.53438371362672,
2022-01-07,101.16521453857422,101.86787442636896,100.88232648743846,101.5667384528561,7883300,-0.0067198096966553,-0.0001791488422804,,102.46559524536133,102.46559524536133,102.46559524536133,102.46559524536133,0.01363671049899415,0.01363671049899415,0.01363671049899415,,,,-0.03817452644160535,103.64260280506687,104.2848156265858,
2022-01-10,100.65419006347656,100.68156542838568,99.33098940788028,100.60855981382895,10109200,-0.0050513852753487,-0.0067198096966553,,102.10331420898437,102.10331420898437,102.10331420898437,102.10331420898437,0.011984592252935942,0.011984592252935942,0.011984592252935942,,,,-0.04303307747619345,103.18284699866837,104.01588039968881,
2022-01-11,100.90969848632812,100.9827040977986,99.35836057247286,100.63593092441299,7339300,0.0025384777592509,-0.0050513852753487,-0.0019087190684544,101.90437825520833,101.90437825520833,101.90437825520833,101.90437825520833,0.011660000978854218,0.011660000978854218,0.011660000978854218,,,,-0.040603838227027955,102.83313184292372,103.78579285055098,
2022-01-12,101.01007843017578,101.64886011852434,100.83669184525336,100.83669184525336,5936600,0.0009947502108655,0.0025384777592509,-0.0296418686334454,101.77662113734654,101.77662113734654,101.77662113734654,101.77662113734654,0.01104701269196358,0.01104701269196358,0.01104701269196358,,,,-0.039649478692800666,102.55266208711635,103.58018437496763,
2022-01-13,100.690673828125,101.73098630524996,100.58117238162599,101.36596523845847,6922600,-0.0031621062671639,0.0009947502108655,-0.0001791488422804,101.16390773228237,101.64087772369385,101.64087772369385,101.64087772369385,0.010985121445222509,0.010267130395984569,0.010267130395984569,,,,-0.042686209094900174,102.26620235496384,103.36614655668299,
2022-01-14,99.73250579833984,100.32566418799668,98.64656999091571,100.18878041158386,12194800,-0.0095159560797131,-0.0031621062671639,-0.0067198096966553,100.85885511125836,101.42883639865451,101.42883639865451,101.42883639865451,0.0043802168908613544,0.009701937853879735,0.009701937853879735,,,,-0.0517959650836568,101.876402884714,103.0969879819909,
2022-01-18,98.83820343017578,99.29447803851333,98.15379151766946,99.08459561750894,9457200,-0.0089670099132207,-0.0095159560797131,-0.0050513852753487,100.42865208217076,101.16977310180664,101.16977310180664,101.16977310180664,0.004681425594768368,0.009200045896223018,0.009200045896223018,,,,-0.06029852006450753,101.4089875840158,102.78152245963423,
